# WHAT KIND OF PURCHASE IS THIS? One row per license family.
#
# ⚠⚠ THIS FILE EXISTS BECAUSE THE REPLACEABILITY RATING HIDES MONEY.
# build_vs_buy asks "could the City build this itself?". That is the wrong question
# for hosting and cloud infrastructure, so those land on `low` and drop out of every
# view built on replaceability. Measured 2026-08-11: Amazon Web Services is $6.80M
# rated `low` -- two thirds the size of the entire `high` set ($10.13M) -- and it
# never appeared in the replaceability analysis at all. Rocket Software $4.22M,
# SolarWinds $1.22M and Nerdio $1.12M are the same story.
#
# A "you cannot build your own AWS" rating is correct and useless. The lever for
# infrastructure is PRICE, not substitution: rate cards are public, committed-use
# discounts exist, and volume is knowable. Classifying the purchase is what lets the
# right question get asked of each line.
#
# CLASSES, and the lever each one implies:
#   software-licence      a license to run/use software        -> open-source substitute
#   managed-hosting       someone else runs it for you         -> benchmark the price, or self-host
#   cloud-infrastructure  metered consumption (IaaS/PaaS)      -> rightsizing, committed use, FinOps
#   oss-support-tier      paid edition/support of OSS          -> is the paid tier needed at all?
#   content-subscription  training libraries, data feeds       -> is the content needed? cheaper source?
#   professional-services instructor-led training, consulting  -> scope and rate review
#   support-maintenance   vendor support on proprietary sw     -> bundled vs separate, tier level
#
# ⚠ CLASSIFYING SOMETHING AS HOSTING IS NOT A DEFENCE OF THE SPEND. It is the
# opposite: hosting is the class where an external rate card makes overcharging
# provable. WP Engine's public pricing is knowable, so $177K over a known number of
# sites is checkable arithmetic -- a firmer finding than any open-source swap.
#
# --- cloud infrastructure: the lever is price and rightsizing, not substitution ---
# --- managed hosting: the lever is a PRICE BENCHMARK first, self-hosting second ---
# --- paid tiers of software that is ALREADY open source ---
# The lever is not substitution - the substitute is the same product. Ask whether the
# commercial tier earns its price.
# --- content, not software: no code substitutes for a training library ---
# ⚠ GARTNER WAS CHALLENGED ("is it really just content for $17M?") AND THE ANSWER
# HELD, but the evidence changed the LEVER. Verified 2026-08-11 against the NYS OGS
# award notice for the vehicle this rides (Group 73001, Award NEG-22601, contract
# PS66085, "Information Advisory Services"): across 201 pages of service
# descriptions the word "Consulting" appears ZERO times, while Research appears
# 1907 times and Executive Programs 525. What is sold is subscription research,
# Executive Programs, Peer Insights and conference tickets, licensed to named
# "Licensed Users" under a usage and content-compliance policy. So it is content,
# and `professional-services` would be wrong.
# ⚠ TWO INTERNAL NOTES, kept in this comment rather than in `why` because `why` is
# RENDERED on the family page and these are research leads, not published claims:
#   1. The NYC contract is recorded as `Intergovernmental OGS` and starts
#      11/01/2024, but PS66085 EXPIRED 06/12/2024 and the OGS notice said OGS
#      "anticipate[d] a lapse in contract coverage". So which vehicle does this
#      $17.5M actually ride? `procurement_method` is a coarse label and a successor
#      award may well exist -- this is a question to ASK, not a finding to publish.
#   2. The service descriptions read here are the 2013-2024 vehicle's. They are
#      strong evidence of what Gartner sells NYS government, but they are not the
#      current agreement, which we have not seen.
# --- corrected by web verification, 2026-08-13 -------------------------------
# ⚠ The classifier read "Investigative case management" as a LEGAL function. It
# is not: Casebuilder is SoundThinking's police investigation platform (formerly
# ShotSpotter Investigate), sold to NYPD by SoundThinking Inc -- the same vendor
# as the $43.9M gunshot-detection contracts. Confirmed against our own data
# (vendor_name = SoundThinking Inc, agency = NYPD) before changing anything; the
# web search alone would not have been sufficient evidence.
# ⚠ NOT merged into the SoundThinking family on purpose. Gunshot detection and
# investigation management are genuinely different products, and this file's own
# rule is to prefer separate in that case. The $89.95M vendor relationship is
# already visible on the SoundThinking Inc vendor profile, which lists both.
# --- IBM, split into its three real products 2026-08-11 -----------------------
# ⚠ THESE ROWS EXIST SO THE SPLIT DOES NOT COST COVERAGE. Splitting the `IBM`
# family (see license_family_curated.csv) creates three families the AI pass has
# never seen, and an unclassified family falls into the `(unclassified)` bucket --
# so without these, $1.23M would have moved from classified to unclassified and the
# split would have read as a regression on the page.
# ⚠ The function tags are the actual point of the split: one family could carry only
# ONE, and `database-platform` was wrong for two thirds of the value.
#
# --- genuine software licenses, where an open-source substitute IS the lever ---
#
# ⚠⚠ MICROSOFT IS 47% OF THE WHOLE PAGE AND WAS UNREVIEWED `auto`. Pinned 2026-08-11
# after the documented class rollup was found to disagree with prod. The old table in
# CLAUDE.md read `support-maintenance` $689M (50.3%) / `software-licence` $345M
# (25.2%) and concluded "only a quarter of license spend is an open-source-
# substitution question". That table REQUIRED this family to be support-maintenance.
# Measured three ways (Postgres, the /oce/licenses payload, the rendered page): it is
# `software-licence`, and the real rollup is software-licence $984.7M (71.9%) /
# managed-hosting $265.5M (19.4%) / support-maintenance $43.3M (3.2%). Roughly three
# quarters, not a quarter.
# ⚠ `capability` is deliberately BLANK: the loader reads blank as "leave the AI's
# value alone" (currently office-productivity), so pinning the CLASS does not quietly
# move this family in the cross-agency function view. Re-tagging the function of an
# ELA that spans an OS, a database and a productivity suite is a separate judgement.
#
# ⚠ TOP-20 REVIEW, drafted 2026-08-11. The 16 rows below complete the
# hand-review of the top 20 families by value ($487.9M that was tier='auto').
# Each confirms or refines the AI's class with the reasoning stated; evidence is
# the family's own contract records plus the cited identity findings in
# docs/license-identity-review.md. `capability` is left blank ON PURPOSE -- blank
# keeps the AI's function tag (the Microsoft precedent); filling it moves the
# family in the cross-agency view.
"family","class","lever","capability","why"
"Amazon Web Services","cloud-infrastructure","price-and-rightsizing","","The largest single hosting-class line, rated `low` replaceability - which is exactly why it vanished from every replaceability view. Metered consumption - check committed-use/reserved coverage, rightsizing and idle spend against the public rate card."
"Nerdio","cloud-infrastructure","price-and-rightsizing","","Azure virtual desktop management - a layer ON TOP of Azure consumption, so review both the tool and the underlying spend."
"Akamai","cloud-infrastructure","price-and-rightsizing","","CDN and web security. Metered by traffic; benchmarkable against Cloudflare/Fastly public pricing."
"Sysdig","cloud-infrastructure","price-and-rightsizing","","Container/cloud monitoring, priced per host or per node."
"WithSecure Cloud Protection","cloud-infrastructure","price-and-rightsizing","","Cloud security subscription."
"WP Engine","managed-hosting","benchmark-then-self-host","","Managed WordPress hosting for one agency. WP Engine publishes list pricing per site and per visit tier, so this divides into a checkable per-site cost. WordPress itself is free; what is bought here is hosting and ops. ⚠ Do not treat 'not a software license' as 'not reviewable' - a public rate card makes this the EASIEST line to audit on the whole page."
"Pantheon","managed-hosting","benchmark-then-self-host","","Managed Drupal/WordPress hosting (⚠ NOT the $319K first reported - that was only the `high`-rated contract, not the family). Managed Drupal/WordPress hosting; same rate-card logic as WP Engine at 4x the value."
"Socrata","managed-hosting","benchmark-then-self-host","","Open-data portal hosting. ⚠ Directly comparable to what this very platform does, so the build-vs-buy question here is unusually well informed - CKAN is the established open-source alternative."
"Liferay","managed-hosting","benchmark-then-self-host","","Content management and portal hosting. Liferay has a community edition, so part of this may be an oss-support-tier purchase - needs the contract read to split hosting from license."
"Box","managed-hosting","benchmark-then-self-host","","Bought separately by several agencies. Cloud file storage priced per seat; per-user cost is benchmarkable and Nextcloud is the catalogued alternative."
"NGINX Plus","oss-support-tier","is-the-paid-tier-needed","","Nginx is open source; this is the commercial edition."
"GeoServer","oss-support-tier","is-the-paid-tier-needed","","GeoServer IS the open-source product and is itself in the European catalogue with 5 government adopters."
"Shiny Server Pro","oss-support-tier","is-the-paid-tier-needed","","Shiny Server has an open-source edition."
"Anaconda","oss-support-tier","is-the-paid-tier-needed","","Open-source core with a commercial distribution license; note Anaconda changed its terms for larger organisations, so check which applies."
"DBeaver","oss-support-tier","is-the-paid-tier-needed","","Community edition is open source."
"Elasticsearch","oss-support-tier","is-the-paid-tier-needed","","⚠ NOT straightforwardly open source any more - relicensed to SSPL 1.0 / Elastic License 2.0. The genuinely open successor is OpenSearch (Apache-2.0), which is catalogued. Treat as a migration, not a tier downgrade."
"Red Hat","oss-support-tier","is-the-paid-tier-needed","","OS and infrastructure support. RHEL support is a legitimate purchase; the question is tier and socket count, not substitution."
"Micro Focus","oss-support-tier","is-the-paid-tier-needed","","Enterprise software subscription and support - needs the contract read to tell license from support."
"Gartner","content-subscription","is-the-content-needed","","Effectively one contract: DoITT, 11/01/2024 to 10/31/2029 - a 5-year term, so $3.50M per year. Content rather than consulting, and the two claims here rest on DIFFERENT sources, so both are stated: the term, value, agency and route come from the City's own published contract record, while what is actually sold comes from New York STATE. New York State publishes the service descriptions for its centrally negotiated Gartner vehicle (OGS Group 73001, ""Information Advisory Services""), and across 201 pages they describe subscription research, Executive Programs, Peer Insights and conference tickets, licensed to named users, with no consulting line items at all. That is the basis for calling this content. ⚠ THE STATE DOCUMENTS DESCRIBE A VEHICLE THAT EXPIRED 06/12/2024, AND THIS CONTRACT BEGINS 11/01/2024. So they are strong evidence of what the City is buying and are NOT evidence of this contract's own terms - the City does not publish the agreement, and we have not seen it. Notably, the state's terms make a subscription-research service agreement non-cancelable except for material breach; if that carried across, there is no mid-term saving here and the only decision point is the 2029 renewal. Worth confirming before relying on it. ⚠ Access of this kind is licensed per named user, so the question that would actually test the spend is how many users are paid for and how many read anything. No unit count exists in the contract data, which is why that is a published-data ask rather than a figure on this page. Gartner does not publish list prices, so unlike managed hosting this cannot be checked against a public rate card."
"LinkedIn Learning","content-subscription","is-the-content-needed","","Bought separately by several agencies. A content library, not software. Moodle replaces an LMS platform; it does not produce courses. ⚠ Rated `high` replaceability, which is a category error."
"Pluralsight","content-subscription","is-the-content-needed","","IT skills content. Same category error as LinkedIn Learning."
"GO1","content-subscription","is-the-content-needed","","Aggregated training content feeding an LMS."
"Learning Tree","professional-services","scope-and-rate-review","","Instructor-led IT training delivery. People, not software. Rated `high` replaceability, which is wrong - the lever is scope and day rate."
"Learning Tree Advantage+","content-subscription","is-the-content-needed","","Training subscription from the same supplier."
"Casebuilder","software-licence","open-source-substitute","public-safety","NYPD investigative case management from SoundThinking Inc. Auto-tagged `legal-case` from the phrase 'investigative case management', which reads legal until you know the vendor."
"IBM SPSS","software-licence","open-source-substitute","statistics-analysis","Bought separately by ACS, DCAS, DFTA and Probation - the most fragmented line in the IBM group, and the clearest open-source question here: R, Python/pandas, JASP and PSPP all cover standard statistical analysis. ⚠ Bought 9 different times through small-purchase and micropurchase routes rather than once citywide, which is a consolidation question independent of any substitution."
"IBM FileNet","software-licence","open-source-substitute","ecm-records","On one DSS contract for document management and imaging (sold as IBM Content Manager/FileNet). Records management has real open-source options (Alfresco, Nuxeo) but migration cost on a records system is high and retention/legal-hold requirements are the binding constraint, not features."
