family,candidate,candidate_kind,confidence,licence,gov_adopters,url,why
# CANDIDATE REPLACEMENTS for licensed software. One row per (family, candidate).
#
# SOURCE: govoss-catalog.vercel.app -- eight European national public-sector
# open-source catalogues (SILL/FR, Developers Italia, openCode/DE, iMio/BE,
# Offentligkod/SE, Avoinkoodi/FI, code.europa.eu, awesome-codegouvfr).
# Read from the JSON API, generated_at 2026-08-11T14:36:09Z: 1,995 entries.
#
# ⚠ CORRECTED 2026-08-13. Earlier rows in this file were built by driving the
# human page in a browser and reading 100 entries at a time. That process was
# wrong in two ways and both are fixed here:
#   * It cited 2,121 entries / 1,881 repos. The catalogue was DEDUPLICATED to
#     1,995 (127 rows collapsed across 84 groups) and 58 non-adoptable entries
#     (upstream forks, CI plumbing, locale bundles) were removed. Any "how many
#     options exist" count taken from the old data was inflated.
#   * It missed matches that were present. `replaces` is now a precomputed
#     inverted index (/by-product.json, 95 proprietary products), and querying it
#     found $19.06M of strong software matches against $2M found by hand.
#
# ⚠⚠ AN EMPTY RESULT NOW MEANS "NOT MAPPED", NOT "NO ALTERNATIVE EXISTS".
# `replaces` covers 73 of 1,995 entries -> 95 products, hand-seeded and openly
# partial. The ONLY absences safe to report as real gaps are the four the
# catalogue itself asserts in /meta.json -> known_gaps. Every other blank is an
# unanswered question. This distinction is why two rows below changed verdict.
#
# ⚠⚠ EVERY ROW IS A JUDGEMENT, NOT A MEASUREMENT. These are suggestions from
# matching a product description against a catalogue search. NOTHING here has been
# checked against what the agency actually needs, its integrations, its data
# residency rules, its accessibility obligations or its support requirements. A
# `strong` confidence means "functionally the same category of tool", never
# "swap it out".
#
# ⚠ AND THE UNDERLYING RATING IS THE WEAKEST FIELD ON THE SITE. This work started
# from build_vs_buy = high, which agrees only 75% between two models and is
# self-inconsistent on 64 of 435 families. Two clusters in it turned out to be
# category errors (training CONTENT and managed HOSTING are not software) -- see
# license_family_class.csv. Treat this file as a reading list, not a plan.
#
# confidence:
#   strong   like-for-like functional substitute, government-adopted
#   partial  covers the main use case with known gaps
#   adjacent same domain, different shape - read before believing
#   none     searched and found nothing (recorded deliberately, see below)
#
# candidate_kind:
#   oss-replacement   a different, open-source product
#   oss-same-product  the product is ALREADY open source; the spend is a paid tier
#   hosting-alt       a hosting/price alternative, not a software substitute
#   none-found        no candidate located
#
# ⚠ "none" ROWS ARE KEPT ON PURPOSE. An empty search is a finding: it says the open
# commons has no answer here, and it stops the next person repeating the search. The
# two largest replaceable lines (Hootsuite $902K, Voicecast $900K) are both `none`.
#
# --- GEOSPATIAL: the largest strong software match in the inventory ------------
# ⚠⚠ MISSED TWICE before /by-product.json existed. Rated `low`/`medium`
# replaceability, so it never appeared in any replaceability-ranked view; and the
# browser pass searched "geoserver" but never "arcgis". At $13.3M it is 70% of
# all strong-software matched value -- more than every other match combined.
Esri ArcGIS,QGIS,oss-replacement,strong,GPL-2.0-or-later,69,https://github.com/qgis/QGIS,"$13.30M over 24 contracts and 8 agencies. QGIS has 69 government adopters - the highest count in the catalogue - and /by-product.json maps both ArcGIS Desktop and ArcGIS Pro to it at `strong`. ⚠ ArcGIS SERVER maps only to GeoServer at `partial`, so a desktop-seat migration and a server migration are different projects with different risk. Read before treating the whole $13.3M as addressable."

# --- MONITORING / OBSERVABILITY -----------------------------------------------
SolarWinds,Zabbix,oss-replacement,strong,GPL-2.0-only,15,https://github.com/zabbix/zabbix,"$1.47M, rated low/medium so previously unassessed. 15 government adopters."
Splunk,Grafana,oss-replacement,partial,AGPL-3.0-only,15,https://github.com/grafana/grafana,"$2.13M. `partial` - Grafana covers dashboards and alerting, not Splunk's log search and SIEM behaviour. Do not book this as a saving."
Tableau,Apache Superset,oss-replacement,strong,Apache-2.0,7,https://github.com/apache/superset,"$550K, rated `medium` so previously unassessed."

# --- COLLABORATION / CONFERENCING ---------------------------------------------
Zoom,BigBlueButton,oss-replacement,strong,LGPL-3.0,23,https://github.com/bigbluebutton/bigbluebutton,"$1.23M family total (an earlier $74K figure counted only the `high`-rated contract). 23 adopters; built for education/public sector."
Webex,Jitsi,oss-replacement,strong,Apache-2.0,8,https://github.com/jitsi/jitsi-meet,$32K.
Slack,Mattermost,oss-replacement,strong,MIT,8,https://github.com/mattermost/mattermost,$22K.

# --- CONFIG MANAGEMENT: both are paid tiers of open-source tooling -------------
Red Hat,Ansible,oss-same-product,strong,GPL-3.0-or-later,32,https://github.com/ansible/ansible,"$535K. Red Hat Ansible Automation Platform is the commercial tier of Ansible (32 adopters). RHEL support is a separate, legitimate line - read the contract before assuming which this is."
Puppet Enterprise,Ansible,oss-replacement,partial,GPL-3.0-or-later,32,https://github.com/ansible/ansible,"$482K. `partial` - a different config-management model, so this is a re-platforming, not a swap."

# --- DESIGN / IDENTITY / CRM: assessed, mostly weak matches -------------------
Figma,Penpot,oss-replacement,strong,MPL-2.0,1,https://github.com/penpot/penpot,"$58K. Only 1 government adopter - `strong` on capability, thin on public-sector proof."
Salesforce,Dolibarr,oss-replacement,partial,GPL-3.0-or-later,2,https://github.com/Dolibarr/dolibarr,"$3.12M. `partial` and only 2 adopters - a CRM migration of this size is not a license swap. Recorded so it is assessed, not to propose it."
